"order_id","order_date","customer_id","customer_name","city","pincode","product_id","product_name","category","quantity","price","discount","total_amount","payment_method","delivery_type","order_status","vendor_id","vendor_name","coupon_code","rating","is_returned","delivery_time_days"
"1","2025-05-25","C000429","Customer_429","Vadodara","377869","P1006","WholeWheatAtta_5kg","Grocery","1","211","0","211","NetBanking","Standard","Cancelled","V0010","Vendor_10","","","N","2"
"2","2025-09-30","C003106","Customer_3106","Jodhpur","349903","P1036","Soda_330ml","Beverages","1","105","0","105","COD","Standard","Delivered","V0035","Vendor_35","","","N","2"
"3","2024-07-27","C002763","Customer_2763","Asansol","969444","P1022","Tea_250g","Beverages","1","137","0","137","Card","Standard","Processing","V0199","Vendor_199","","","N","2"
"4","2024-04-09","C000718","Customer_718","Gorakhpur","888860","P1025","ChocolateBar","Snacks","2","73","0","146","UPI","Standard","Delivered","V0027","Vendor_27","","4","N","2"
"5","2024-04-16","C007418","Customer_7418","Bengaluru","739813","P1006","WholeWheatAtta_5kg","Grocery","1","212","0","212","Card","Standard","Processing","V0075","Vendor_75","","","N","2"
"6","2025-01-25","C007465","Customer_7465","Jalandhar","730542","P1037","EnergyDrink_500ml","Beverages","2","164","0","328","NetBanking","Standard","Delivered","V0197","Vendor_197","","","N","1"
"7","2025-03-10","C002500","Customer_2500","Chandigarh","536180","P1034","PeanutButter_350g","Grocery","1","239","0","239","NetBanking","Standard","Delivered","V0135","Vendor_135","","5","N","3"
"8","2025-05-04","C004627","Customer_4627","Thiruvananthapuram","695851","P1001","Almonds_1kg","Grocery","2","290","0","580","NetBanking","Express","Delivered","V0112","Vendor_112","","4","N","1"
"9","2024-05-20","C005611","Customer_5611","Jodhpur","854102","P1041","BreadLoaf","Bakery","2","72","40","104","NetBanking","Standard","Delivered","V0131","Vendor_131","FREESHIP","","N","2"
"10","2024-02-16","C000261","Customer_261","Mangalore","807899","P1042","Maggie_2pack","Snacks","1","56","9","47","UPI","Express","Delivered","V0044","Vendor_44","SAVE20","","N","1"
"11","2025-05-01","C002744","Customer_2744","Chandigarh","624609","P1036","Soda_330ml","Beverages","2","132","0","264","NetBanking","Express","Delivered","V0100","Vendor_100","","","N","1"
"12","2024-12-06","C004696","Customer_4696","Dhanbad","349764","P1022","Tea_250g","Beverages","1","110","16","94","Card","Standard","Delivered","V0094","Vendor_94","NEWUSER50","4","N","2"
"13","2024-08-10","C000106","Customer_106","Patna","269158","P1015","FloorCleaner_1L","Household","1","160","0","160","NetBanking","Standard","Delivered","V0016","Vendor_16","","","N","2"
"14","2025-11-12","C005234","Customer_5234","Coimbatore","887662","P1032","Mayonnaise_250g","Grocery","1","193","0","193","Card","Standard","Out for Delivery","V0040","Vendor_40","","","N","2"
"15","2024-07-16","C004395","Customer_4395","Agra","602369","P1025","ChocolateBar","Snacks","1","84","0","84","NetBanking","Standard","Delivered","V0050","Vendor_50","","5","N","2"
"16","2025-10-13","C000173","Customer_173","Surat","744506","P1023","Coffee_200g","Beverages","2","169","0","338","COD","Express","Delivered","V0001","Vendor_1","","5","N","1"
"17","2025-03-17","C000890","Customer_890","Nellore","629006","P1005","Apple_1kg","Fruits","2","146","0","292","Wallet","Standard","Delivered","V0111","Vendor_111","","5","N","1"
"18","2025-10-11","C007353","Customer_7353","Delhi","850786","P1035","CookingGasRefill","Household","3","185","93","462","UPI","Standard","Delivered","V0008","Vendor_8","ZP100","5","N","2"
"19","2025-11-26","C002642","Customer_2642","Surat","751554","P1031","TomatoKetchup_500g","Grocery","3","198","0","594","UPI","Standard","Delivered","V0090","Vendor_90","","4","N","1"
"20","2024-08-13","C000195","Customer_195","Gwalior","750919","P1041","BreadLoaf","Bakery","1","51","0","51","Card","Express","Delivered","V0184","Vendor_184","","5","N","0"
"21","2025-08-24","C007125","Customer_7125","Durgapur","303570","P1010","Eggs_12pc","Dairy","2","126","0","252","COD","Standard","Delivered","V0161","Vendor_161","","4","N","1"
"22","2025-09-21","C000469","Customer_469","Mangalore","913648","P1034","PeanutButter_350g","Grocery","1","211","0","211","NetBanking","Standard","Delivered","V0168","Vendor_168","","5","N","3"
"23","2024-08-06","C006328","Customer_6328","Coimbatore","719381","P1050","Handwash_250ml","Household","2","249","0","498","NetBanking","Standard","Delivered","V0087","Vendor_87","","","N","1"
"24","2025-05-03","C004237","Customer_4237","Noida","623700","P1041","BreadLoaf","Bakery","1","57","0","57","Card","Express","Delivered","V0016","Vendor_16","","","N","1"
"25","2024-03-24","C006074","Customer_6074","Gurgaon","573438","P1030","Pasta_500g","Grocery","3","197","0","591","UPI","Standard","Cancelled","V0190","Vendor_190","","","N","2"
"26","2024-01-26","C005900","Customer_5900","Gaya","534785","P1043","OlivesJar","Grocery","3","123","0","369","NetBanking","Standard","Delivered","V0008","Vendor_8","","4","N","2"
"27","2025-08-25","C001300","Customer_1300","Bhubaneswar","210035","P1021","FrozenFish_1kg","Frozen","1","222","0","222","Wallet","Standard","Delivered","V0129","Vendor_129","","5","N","2"
"28","2025-06-10","C000859","Customer_859","Jodhpur","403465","P1047","LipBalm","PersonalCare","1","179","0","179","COD","Standard","Delivered","V0024","Vendor_24","","","N","4"
"29","2024-08-12","C002227","Customer_2227","Ranchi","655571","P1016","RiceCooker","Appliances","1","1598","0","1598","Card","Express","Delivered","V0012","Vendor_12","","4","N","2"
"30","2025-06-10","C007687","Customer_7687","Ranchi","383138","P1006","WholeWheatAtta_5kg","Grocery","2","206","82","330","Wallet","Standard","Out for Delivery","V0005","Vendor_5","SAVE20","","N","2"
"31","2024-08-21","C001591","Customer_1591","Vadodara","998295","P1037","EnergyDrink_500ml","Beverages","1","160","0","160","Card","Standard","Delivered","V0088","Vendor_88","","4","N","2"
"32","2024-08-11","C004543","Customer_4543","","721595","P1009","Rice_5kg","Grocery","1","206","22","184","Card","Standard","Delivered","V0188","Vendor_188","FREESHIP","5","N","2"
"33","2024-07-30","C003264","Customer_3264","Dhanbad","735717","P1002","Milk_1L","Dairy","1","183","0","183","COD","Standard","Delivered","V0125","Vendor_125","","4","N","3"
"34","2025-09-14","C002790","Customer_2790","Shimla","362831","P1015","FloorCleaner_1L","Household","3","160","0","480","Wallet","Express","Delivered","V0002","Vendor_2","","","N","0"
"35","2025-05-30","C007359","Customer_7359","Gorakhpur","791045","P1039","InstantNoodlesPack","Snacks","3","76","0","228","NetBanking","Standard","Delivered","V0177","Vendor_177","","4","N","2"
"36","2024-04-15","C000430","Customer_430","Raipur","825487","P1030","Pasta_500g","Grocery","1","202","0","202","COD","Express","Cancelled","V0081","Vendor_81","","","N","1"
"37","2025-07-27","C002939","Customer_2939","","829383","P1050","Handwash_250ml","Household","2","253","0","506","NetBanking","Standard","Delivered","V0047","Vendor_47","","","N","2"
"38","2024-07-24","C003133","Customer_3133","Kolkata","997223","P1027","Cereal_500g","Grocery","3","197","133","458","Wallet","Standard","Processing","V0144","Vendor_144","ZP100","","N","4"
"39","2025-03-10","C003084","Customer_3084","Raipur","706164","P1005","Apple_1kg","Fruits","2","238","0","476","COD","Standard","Delivered","V0155","Vendor_155","","","N","2"
"40","2025-09-27","C002640","Customer_2640","Kolkata","746612","P1025","ChocolateBar","Snacks","1","109","0","109","UPI","Standard","Delivered","V0120","Vendor_120","","","N","4"
"41","2025-05-15","C004699","Customer_4699","Mangalore","337661","P1046","FaceWash_100ml","PersonalCare","1","158","0","158","COD","Standard","Delivered","V0113","Vendor_113","","","N","3"
"42","2024-12-06","C004611","Customer_4611","Kolhapur","787153","P1023","Coffee_200g","Beverages","1","101","12","89","NetBanking","Standard","Processing","V0071","Vendor_71","SAVE20","","N","1"
"43","2024-09-10","C002763","Customer_2763","Kolkata","603439","P1012","Shampoo_200ml","PersonalCare","1","201","0","201","UPI","Standard","Delivered","V0188","Vendor_188","","5","N","2"
"44","2025-02-05","C001081","Customer_1081","Amritsar","437664","P1035","CookingGasRefill","Household","1","175","0","175","UPI","Standard","Delivered","V0084","Vendor_84","","","N","3"
"45","2024-04-11","C007131","Customer_7131","Raipur","148819","P1015","FloorCleaner_1L","Household","3","187","0","561","Wallet","Express","Delivered","V0154","Vendor_154","","","N","0"
"46","2025-04-19","C006344","Customer_6344","Coimbatore","260616","P1046","FaceWash_100ml","PersonalCare","1","138","8","130","UPI","Standard","Delivered","V0177","Vendor_177","FREESHIP","5","N","2"
"47","2024-12-30","C007273","Customer_7273","Chennai","409913","P1017","MobileCharger","Electronics","1","740","0","740","COD","Standard","Delivered","V0109","Vendor_109","","","N","2"
"48","2024-05-17","C000356","Customer_356","Gorakhpur","323952","P1001","Almonds_1kg","Grocery","2","145","65","225","Card","Standard","Delivered","V0043","Vendor_43","ZP100","5","N","1"
"49","2024-10-03","C006258","Customer_6258","Jammu","140994","P1034","PeanutButter_350g","Grocery","3","181","0","543","Card","Standard","Cancelled","V0120","Vendor_120","","","N","2"
"50","2025-10-31","C001837","Customer_1837","Coimbatore","634214","P1034","PeanutButter_350g","Grocery","3","217","0","651","UPI","Standard","Delivered","V0143","Vendor_143","","","N","3"
